2025-01-05 18:04:53,056 - INFO - Network Event - DisruptionCheck: {'current_node': 'mars_rover_1', 'next_node': 'mars_base', 'error_rate': 0.3, 'disruption_rate': 0.3}
2025-01-05 18:04:53,662 - INFO - Network Event - DisruptionCheck: {'current_node': 'mars_rover_1', 'next_node': 'mars_base', 'error_rate': 0.3, 'disruption_rate': 0.3}
2025-01-05 18:04:55,245 - INFO - Network Event - DisruptionCheck: {'current_node': 'mars_base', 'next_node': 'mars_orbiter_1', 'error_rate': 0.3, 'disruption_rate': 0.3}
2025-01-05 18:04:56,835 - INFO - Network Event - DisruptionCheck: {'current_node': 'mars_orbiter_1', 'next_node': 'deep_space_relay_1', 'error_rate': 0.3, 'disruption_rate': 0.3}
2025-01-05 18:04:57,379 - INFO - Network Event - DisruptionCheck: {'current_node': 'mars_orbiter_1', 'next_node': 'deep_space_relay_1', 'error_rate': 0.3, 'disruption_rate': 0.3}
2025-01-05 18:04:57,968 - INFO - Network Event - DisruptionCheck: {'current_node': 'mars_orbiter_1', 'next_node': 'deep_space_relay_1', 'error_rate': 0.3, 'disruption_rate': 0.3}
2025-01-05 18:04:59,533 - INFO - Network Event - DisruptionCheck: {'current_node': 'deep_space_relay_1', 'next_node': 'earth_relay_1', 'error_rate': 0.3, 'disruption_rate': 0.3}
2025-01-05 18:05:00,117 - INFO - Network Event - DisruptionCheck: {'current_node': 'deep_space_relay_1', 'next_node': 'earth_relay_1', 'error_rate': 0.3, 'disruption_rate': 0.3}
2025-01-05 18:05:00,701 - INFO - Network Event - DisruptionCheck: {'current_node': 'deep_space_relay_1', 'next_node': 'earth_relay_1', 'error_rate': 0.3, 'disruption_rate': 0.3}
2025-01-05 18:05:01,282 - INFO - Network Event - DisruptionCheck: {'current_node': 'deep_space_relay_1', 'next_node': 'earth_relay_1', 'error_rate': 0.3, 'disruption_rate': 0.3}
2025-01-05 18:05:02,868 - INFO - Network Event - DisruptionCheck: {'current_node': 'earth_relay_1', 'next_node': 'earth_station_1', 'error_rate': 0.3, 'disruption_rate': 0.3}
2025-01-05 18:05:03,455 - INFO - Network Event - DisruptionCheck: {'current_node': 'earth_relay_1', 'next_node': 'earth_station_1', 'error_rate': 0.3, 'disruption_rate': 0.3}
2025-01-05 18:05:04,039 - INFO - Network Event - DisruptionCheck: {'current_node': 'earth_relay_1', 'next_node': 'earth_station_1', 'error_rate': 0.3, 'disruption_rate': 0.3}
